lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.532,44.72000561,119.7714194,38.6318814,-152.2819593,0.312149283,-0.00312196,-0.024797332,-0.009433478,-0.021307843,0.041276646,0.01789021,-0.006293884,0.000958346,-0.016850224,-0.003226245,-0.012706936,0.004697957,-0.008881026,0.002395497,0.004218436
0.532,18.96863788,10.1472351,55.46465872,114.2043233,0.308528294,-0.008972625,0.01914468,-0.004937151,-0.014345031,0.00963906,0.004513921,0.011142373,0.007969237,0.00190054,-0.011721261,0.011188897,0.010023829,0.013221557,0.011478686,-0.011676807
0.532,66.78139798,-94.89434599,33.42564119,-91.43462446,0.281005665,0.003572315,0.005920914,0.009865529,-0.007095918,0.043938661,-0.005849364,0.010552742,0.00524068,0.004463563,-0.047517353,-0.001128648,-0.007110664,-0.001761422,0.011978226,0.001431211
0.532,32.52108665,-2.646105419,5.616044716,69.45297325,0.319720067,-0.00746738,0.002862087,0.01356822,0.01261379,0.036943813,0.007580881,0.004304978,-0.004216701,0.004836356,-0.040549119,0.005123611,-0.002469177,0.010185479,-0.003651002,-0.003951544
0.532,49.51502194,138.6855494,31.95245037,24.82374837,0.320461946,0.005965043,-0.001694702,-0.005653451,0.014132913,0.022117083,0.015157227,0.001768558,-0.004142243,-0.032732021,-0.013137972,0.011329652,0.004791231,0.007769302,0.004648505,0.005519123
0.532,54.47612461,64.74499209,70.36492036,-72.89396694,0.366704681,-0.028334725,0.026241051,-0.015996924,-0.044942078,0.183798938,-0.017971134,-0.04609246,0.005083543,-0.060643694,0.151198702,-0.07332313,-0.015473728,0.037798098,0.068936775,0.09332446
0.532,44.16507022,152.0375118,45.97762917,8.948554943,0.323898376,0.018557414,0.007531597,-0.016215646,0.003525594,0.050284243,0.019099437,0.00425737,-0.009078556,-0.021585705,0.026780512,0.024219726,-0.00689145,0.018766476,-0.033478079,0.009517221
0.532,50.85958209,25.24088631,66.28422318,-39.37892497,0.283098656,-0.035927483,0.031744177,-0.013355905,-0.039427913,0.046118285,-0.033328651,0.010763381,0.025581634,-0.016116093,-0.038974009,-0.020135974,0.005228556,-0.006762041,0.048798436,0.003127766
0.532,54.5369408,-111.7657618,73.37369528,-34.18608995,0.286103596,0.000300756,0.017190282,0.010969683,0.016428059,0.060842998,0.01864918,-0.010998465,0.031872709,0.068644916,0.036277201,0.03618504,-0.001010692,0.018296801,-0.024593396,0.041400447
0.532,49.68150255,-159.4024802,46.06249584,159.785908,0.303847001,-0.013064835,-0.003879343,-0.008412338,-0.006624509,0.037396436,0.005439017,-0.008185307,0.005384273,-0.015450959,-0.028282878,-0.011633437,0.006886492,0.00651434,0.007295202,0.009375017
0.532,48.22526535,157.4557708,57.97280898,173.8219293,0.295140017,-0.004424895,0.002431396,0.008666415,-0.017060468,0.048867334,-0.008105999,-0.016643922,-0.003506354,-0.009541981,-0.037655964,-0.006463243,-0.011016108,-0.02941266,0.009662293,-0.023321579
0.532,30.49424181,93.7282917,6.840717139,-160.9519623,0.330439668,-0.003455601,0.001253237,-0.00964112,-0.020624573,0.037035777,-0.01573986,-0.026608314,0.005265933,0.003777139,-0.033479262,0.007303137,0.005725051,0.035858486,-0.003968655,-0.029480376
