lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.351,-0.001,0,81.8699,135,2.49E-01,-0.0237093,-0.020901,0.0415804,0.00858404,-0.0449565,-0.039833,-0.0178026,0.0554306,0.0985838,0.0845462,-0.0903559,0.0457734,0.132501,0.0560552,-0.107759
0.351,-0.001,0,67.2135,-130.601,2.91E-01,0.00544716,-0.00898615,0.0126108,-0.00938665,0.011693,-0.000158055,-0.0214271,0.0146104,0.00189337,-0.0246977,-0.0104843,-0.0138899,0.00380724,0.00642854,0.0179897
0.351,-0.001,0,58.0519,-135,3.02E-01,0.000138928,-0.00119064,0.000554259,0.00529493,0.0191648,-0.00220989,-0.0151987,0.0166011,0.0118771,-0.0233211,-0.00765316,-0.00422368,-0.0154668,-0.0159929,-0.0213186
0.351,-0.001,0,51.3545,-140.194,3.09E-01,0.00214795,-0.00914131,-0.00648798,-0.00872427,0.0368999,0.0166648,0.0165056,0.0140377,-0.0150336,-0.0264204,-0.00615909,-0.00744725,0.000440904,-0.000795061,-0.0085857
0.351,-0.001,0,46.1462,-146.31,3.12E-01,0.00657469,-0.000971096,0.00410159,-0.0026511,0.021057,-0.00916697,-0.00819317,0.00862206,-0.00817904,-0.040942,-0.0143842,-0.00456935,0.000693296,-0.000376037,-0.0143927
0.351,-0.001,0,42.1304,-153.435,3.15E-01,0.00846885,-0.00860802,-0.00202052,0.0156943,0.0107311,-0.016174,-0.0158536,0.00781386,0.00332181,-0.0256672,-0.0101973,0.0131539,0.00413061,-0.00330158,-0.0207517
0.351,-0.001,0,39.2315,-161.565,3.17E-01,0.00363331,-0.01071,-0.00127942,0.00204529,0.0235003,0.00697523,0.0145579,0.00830578,0.01681,-0.053142,-0.0179208,-0.00195384,-0.00314922,0.0168199,0.00140069
0.351,-0.001,0,37.465,-170.538,3.18E-01,0.00653183,0.00617813,-0.00362255,-0.00735675,0.0134448,0.00124191,0.010951,0.000838958,0.0075144,-0.034512,0.00216606,-0.000580023,0.0014561,-0.00743909,-0.0164981
0.351,-0.001,0,36.8699,180,3.19E-01,0.00144499,0.00539474,0.00571366,0.00527977,0.0252428,-0.00954273,-0.000191754,-0.00643268,-0.0142456,-0.0166796,0.0151932,0.00277992,0.0056676,-0.0104702,-0.0176456
0.351,-0.001,0,37.465,170.538,3.19E-01,0.00728858,0.00117091,-0.0108322,0.00419779,0.0254725,0.00315696,0.000243192,-0.0139908,-0.00763105,-0.0265139,0.016409,-0.00488049,-0.00751381,0.00158047,0.00231301
0.351,-0.001,0,39.2315,161.565,3.17E-01,-0.000308847,0.0140778,-0.00196869,-0.00335552,0.0433023,-0.008459,-0.000449948,-0.00147066,0.00320481,-0.00527864,-0.00342662,-0.0035557,0.00423557,-0.0109643,-0.00623279
0.351,-0.001,0,42.1304,153.435,3.16E-01,-0.0031135,0.00909451,0.00977315,0.0109836,0.0441127,-0.00238639,0.00254474,-0.0014071,-0.0241972,-0.023144,0.0121619,-0.00288626,-0.00904434,-0.00139074,-0.0098624
0.351,-0.001,0,46.1462,146.31,3.12E-01,-0.00668899,0.00953423,0.0183536,-0.0117547,0.00798418,-0.00751177,-0.00475052,-0.0171187,-0.0197038,-0.0287455,0.0219242,0.00517468,0.0131573,0.00737981,-0.0181439
0.351,-0.001,0,51.3545,140.194,3.08E-01,-0.0088296,0.00677173,0.00895745,0.00353736,0.007575,-0.00373577,0.0199266,0.00559577,0.0281449,-0.00689635,-0.0224676,-0.000292509,0.000328597,-0.000850834,-0.0195719
0.351,-0.001,0,58.0519,135,3.04E-01,-0.00652288,0.00489397,-0.000367494,0.0121245,-0.00226775,-0.00347758,0.00239301,-0.0036083,-0.0111665,-0.0199569,0.00271795,-0.00398242,0.00188083,-0.0125702,-0.00535655
0.351,-0.001,0,67.2135,130.601,2.91E-01,-0.00653415,0.0168652,-0.00872515,0.00417953,-0.00988765,0.0170214,-0.00287323,-0.00418238,0.0257262,-0.0122635,-0.0392498,-0.00566877,0.0139524,-0.0307105,0.0269923
0.351,-0.001,0,70.6303,-122.005,2.89E-01,0.00890611,-0.0289072,-0.00888788,0.0186727,0.0173008,-0.00874119,-0.0127175,0.0095507,0.00643282,-0.0108301,0.0191019,-0.0142368,0.00442737,0.0127157,-0.00057743
0.351,-0.001,0,59.3427,-125.538,3.06E-01,-0.00165288,-0.0142882,-0.00851915,-0.0117513,0.0637132,-0.00244227,0.00447177,0.0159262,-0.0176411,-0.0427734,0.00286271,-0.00664303,0.004508,0.00732137,0.00775061
0.351,-0.001,0,51.3545,-129.806,3.09E-01,-0.0142785,-0.0125642,-0.00847482,-0.00362221,0.0377644,-0.00219344,0.00383174,0.000264858,0.0181236,-0.0307755,0.00145511,-0.000101671,0.00932937,-0.00322758,-0.0020078
0.351,-0.001,0,45,-135,3.16E-01,-0.0079511,-0.0192369,-0.0127526,-0.0064626,0.0517267,0.00568737,0.00556454,0.0134954,0.000583816,-0.0182634,-0.00329584,-0.0094307,0.0181812,0.00731158,-0.00205271
0.351,-0.001,0,39.8151,-141.34,3.16E-01,0.0109126,-0.00104955,-0.00269571,-0.00491884,0.0349422,-0.00431926,-0.00465428,0.000394705,0.0073534,-0.0257736,0.0104944,-0.000477051,-0.00841247,-0.0214619,-0.0333573
0.351,-0.001,0,35.6685,-149.036,3.16E-01,0.00113122,-0.00682416,0.00477643,0.00539791,0.0261128,0.00230836,-0.00126413,0.00507892,-0.00278892,-0.0298919,0.00174971,-0.00307332,0.00766506,0.012368,-0.00087791
0.351,-0.001,0,32.5827,-158.199,3.22E-01,0.00595122,-0.00261428,0.000453226,0.00990517,0.0356238,-0.00680469,0.00246047,-0.00105726,-0.0042653,-0.027311,-0.00336087,-0.00396226,0.00299807,-0.0049134,-0.00477335
0.351,-0.001,0,30.6573,-168.69,3.23E-01,0.00495627,0.000601599,0.00229043,0.000305878,0.0233396,-0.00341906,-0.000715391,0.0120236,0.00237151,-0.0241988,-0.0063458,-0.00521566,0.00686479,-0.00469894,-0.0122194
0.351,-0.001,0,30,180,3.23E-01,0.00934864,0.000642783,0.00761746,-0.00021591,0.0256356,0.00754115,0.00832497,-0.00792088,-0.0182602,-0.0324657,0.00792891,-0.000780275,0.00219284,0.00782831,-0.00974942
0.351,-0.001,0,30.6573,168.69,3.20E-01,-0.00412367,0.012323,-0.00363011,-0.000952458,0.0267145,-0.0138423,0.002593,-0.00313824,0.00736549,-0.03627,-0.00222043,0.00575469,-0.00832669,-0.00155035,-0.00832895
0.351,-0.001,0,32.5827,158.199,3.21E-01,-0.00342713,0.00629172,-0.000241646,0.0055941,0.0343036,0.00193919,-0.000324035,-0.00181025,0.00663762,-0.0271766,-0.00871717,-6.46E-05,-0.0092063,0.00145293,-0.00871952
0.351,-0.001,0,35.6685,149.036,3.18E-01,-0.00208799,0.00693404,0.000552778,0.0053437,0.0413779,0.00216839,-0.00660346,-0.00263075,0.00888175,-0.0280719,-0.00392075,0.0013202,0.000153379,0.00283133,-0.0075038
0.351,-0.001,0,39.8151,141.34,3.17E-01,-0.00653332,0.00614755,-0.00279242,0.00167702,0.0294119,-0.00459206,-0.00239062,-0.00735488,0.00925528,-0.0377966,-0.00370891,-0.00197268,-0.00622047,-0.00354412,-0.0063596
0.351,-0.001,0,45,135,3.16E-01,-0.00562567,0.00551357,0.00305287,-0.00400807,0.054797,0.0313906,-0.00113403,-0.016629,-0.00463139,-0.0295301,0.00629243,0.0048752,-0.0143738,-0.00573284,-0.0145889
0.351,-0.001,0,51.3545,129.806,3.09E-01,-0.00343673,0.0115846,-0.00104343,-0.0172882,0.0105291,-0.0265535,0.0147163,0.00235422,0.0178616,-0.00188004,-0.0217542,0.00178335,0.00216036,0.0147753,-0.0149806
0.351,-0.001,0,59.3427,125.538,3.04E-01,-0.0101196,0.00640598,-0.00774363,-0.00711787,-0.0174488,-0.0242879,0.0115198,-0.00718715,0.0170721,-0.0260064,0.00781933,-0.00215229,0.00934588,-0.00646235,0.00854138
0.351,-0.001,0,70.6303,122.005,2.87E-01,-0.00674928,0.0203856,-0.00342046,0.011494,0.0170589,0.0307016,-0.00738034,-0.0144978,0.00546065,-0.0390641,-0.0181799,-0.00199305,0.0114952,-0.0179236,0.00845994
0.351,-0.001,0,80.0258,-113.962,2.64E-01,0.0168385,-0.0258065,-0.0131543,-0.00727049,-0.0377149,-0.00855915,-0.0326815,-0.000114845,-0.0560654,-0.11284,-0.102232,0.00474421,0.00720108,-0.0306518,-0.00332838
0.351,-0.001,0,63.4349,-116.565,2.95E-01,-0.0155028,-0.0121578,0.00463812,-0.0150203,0.0422712,0.0148892,0.016879,0.000116465,0.0260845,-0.0377386,0.0130798,-0.0128636,-0.0062319,0.0208474,0.00880423
