lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
587,0.58945,1.25701,1.23726,1.31623,1.37717,1.58307,1.35995,1.22041,0.70468,0.83143
588,0.58393,1.24882,1.22936,1.30991,1.37074,1.57485,1.35286,1.21252,0.69906,0.82534
589,0.57861,1.24094,1.22178,1.30376,1.36449,1.56687,1.34597,1.20492,0.69362,0.81943
590,0.57382,1.23393,1.21505,1.29833,1.35893,1.55976,1.33985,1.19813,0.68872,0.81412
591,0.57023,1.2288,1.21016,1.2944,1.35485,1.55455,1.33537,1.19312,0.68502,0.8102
592,0.56844,1.22641,1.20795,1.29259,1.35286,1.55207,1.33329,1.19069,0.68315,0.80835
593,0.56894,1.22745,1.20907,1.29348,1.35348,1.55302,1.33422,1.19153,0.68356,0.80908
594,0.57148,1.23153,1.21313,1.29668,1.35636,1.55698,1.33781,1.19523,0.68601,0.8121
595,0.57508,1.23693,1.21839,1.3006,1.35994,1.56203,1.3424,1.20014,0.68944,0.81618
596,0.57833,1.24113,1.22239,1.30297,1.36189,1.56535,1.34556,1.20386,0.6923,0.81955
597,0.5809,1.24376,1.22484,1.30361,1.36206,1.56666,1.34697,1.20609,0.69435,0.82193
598,0.58336,1.24618,1.22707,1.30405,1.36198,1.56774,1.34816,1.20818,0.69629,0.82419
599,0.58616,1.24942,1.23004,1.30535,1.3628,1.56988,1.35025,1.21104,0.69867,0.82697
600,0.5891,1.25301,1.23334,1.3071,1.36414,1.57259,1.35281,1.21424,0.70123,0.82997
601,0.59158,1.25594,1.23594,1.30838,1.36505,1.57469,1.35484,1.21682,0.70334,0.83246
602,0.59337,1.25782,1.23753,1.30891,1.36523,1.57583,1.35601,1.21845,0.70477,0.83418
603,0.59449,1.25874,1.23821,1.30877,1.36476,1.57609,1.35641,1.21921,0.70556,0.83518
604,0.59506,1.25891,1.23816,1.30816,1.36385,1.57574,1.35625,1.21925,0.70583,0.83558
605,0.59521,1.25858,1.23768,1.30735,1.36277,1.57505,1.35578,1.21883,0.70572,0.83559
606,0.595,1.25781,1.23683,1.30635,1.36155,1.57408,1.35505,1.21802,0.70527,0.83523
607,0.59434,1.25638,1.23536,1.30485,1.35985,1.57248,1.35379,1.21657,0.70437,0.83438
608,0.59292,1.25345,1.23245,1.30192,1.35672,1.56915,1.35106,1.21366,0.7026,0.83251
609,0.5907,1.24896,1.228,1.29742,1.35195,1.56387,1.34667,1.20921,0.69993,0.82957
610,0.58789,1.2433,1.2224,1.29174,1.34589,1.55711,1.34099,1.2036,0.69656,0.82583
611,0.58486,1.23726,1.21643,1.28565,1.33939,1.54986,1.33486,1.19757,0.69296,0.82182
612,0.58207,1.23177,1.21099,1.28013,1.33344,1.54322,1.32929,1.19207,0.68964,0.81814
613,0.57997,1.22778,1.20706,1.27619,1.32913,1.53847,1.32533,1.18804,0.68716,0.81545
614,0.57874,1.22565,1.20498,1.2742,1.32688,1.53609,1.32339,1.18583,0.6857,0.81399
615,0.57799,1.2246,1.2039,1.27326,1.32578,1.53504,1.32259,1.18464,0.68481,0.81319
616,0.57731,1.22376,1.20299,1.27252,1.32488,1.53424,1.32199,1.18363,0.68402,0.81249
617,0.57642,1.22252,1.20168,1.2714,1.32355,1.53292,1.32093,1.18226,0.68301,0.81151
618,0.5753,1.22081,1.19989,1.26978,1.32167,1.53097,1.31933,1.18045,0.68169,0.8102
619,0.574,1.21873,1.19778,1.26783,1.31945,1.5286,1.31735,1.1783,0.68017,0.80862
620,0.57265,1.21664,1.19571,1.26595,1.3173,1.52629,1.31541,1.17619,0.67862,0.80699
621,0.57128,1.21474,1.19386,1.26437,1.31549,1.52431,1.31373,1.17429,0.67708,0.80538
622,0.56954,1.21249,1.19165,1.26253,1.31351,1.52205,1.31173,1.17201,0.6752,0.80332
623,0.56693,1.20873,1.18791,1.25915,1.31,1.51795,1.30811,1.16821,0.67232,0.80003
624,0.56355,1.20338,1.18258,1.25408,1.30473,1.51179,1.30275,1.16286,0.66852,0.79564
625,0.55999,1.19746,1.17672,1.24834,1.2987,1.50481,1.29668,1.15695,0.66449,0.79101
626,0.55668,1.19177,1.17113,1.24283,1.29285,1.49808,1.29086,1.15128,0.6607,0.7867
627,0.55398,1.18717,1.16664,1.23844,1.28815,1.49271,1.28623,1.14665,0.65761,0.78324
628,0.55209,1.18415,1.16372,1.23569,1.28514,1.48931,1.28332,1.14354,0.6555,0.78095
629,0.551,1.18265,1.16227,1.23445,1.2837,1.48775,1.28204,1.14189,0.65431,0.77977
630,0.55049,1.18212,1.16178,1.23414,1.28325,1.48736,1.28181,1.14121,0.65378,0.77938
631,0.55054,1.18232,1.16202,1.23452,1.28346,1.48781,1.28236,1.14127,0.65383,0.77969
632,0.55122,1.1833,1.16302,1.23559,1.28431,1.48913,1.2837,1.14211,0.65451,0.7808
633,0.55261,1.18538,1.16513,1.23775,1.28624,1.49178,1.28622,1.14405,0.65601,0.7829
634,0.5541,1.18749,1.16727,1.23995,1.28825,1.49453,1.28884,1.14605,0.65759,0.78514
635,0.55518,1.18887,1.16867,1.24146,1.28959,1.49644,1.29073,1.14737,0.65872,0.78681
636,0.55586,1.18957,1.16941,1.24228,1.29024,1.49752,1.29188,1.14807,0.65941,0.78793
637,0.55638,1.19009,1.16997,1.24291,1.29072,1.49835,1.29281,1.14859,0.65992,0.78884
638,0.55672,1.19037,1.1703,1.24333,1.29101,1.49892,1.29351,1.14888,0.66023,0.78949
639,0.55658,1.19002,1.16998,1.24321,1.29077,1.49883,1.29362,1.14855,0.66008,0.78957
640,0.55566,1.18849,1.1685,1.24209,1.28958,1.4975,1.29261,1.14703,0.65911,0.7887
641,0.55343,1.18506,1.16516,1.23944,1.28692,1.49421,1.28988,1.14367,0.65683,0.7863
642,0.54979,1.17954,1.15981,1.23516,1.28269,1.48878,1.28526,1.1383,0.65315,0.78227
643,0.54514,1.17237,1.15288,1.22953,1.27709,1.48155,1.27908,1.13138,0.64841,0.77703
644,0.54056,1.16513,1.1459,1.22371,1.27119,1.47403,1.27268,1.12438,0.6437,0.77179
645,0.53682,1.15933,1.14036,1.21912,1.26651,1.46805,1.26764,1.11874,0.63988,0.76759
646,0.5339,1.15513,1.13635,1.21606,1.2634,1.46399,1.26423,1.11461,0.63697,0.76447
647,0.53116,1.15137,1.13276,1.21347,1.26083,1.46054,1.26133,1.11089,0.63428,0.7616
648,0.52861,1.14768,1.1292,1.21075,1.25809,1.45702,1.25838,1.10727,0.63172,0.75885
649,0.52555,1.14256,1.12417,1.20633,1.25359,1.45154,1.25377,1.10227,0.62845,0.75523
650,0.52131,1.13449,1.11619,1.19854,1.24558,1.44207,1.24574,1.09438,0.62363,0.7497
651,0.51591,1.12304,1.1049,1.18666,1.2332,1.42778,1.23357,1.08318,0.61716,0.74214
652,0.51218,1.11419,1.09619,1.17683,1.22268,1.41603,1.22359,1.07451,0.61241,0.73657
653,0.5114,1.11092,1.09293,1.17232,1.21753,1.41083,1.21925,1.07118,0.61091,0.73487
654,0.51289,1.11256,1.09447,1.17289,1.21774,1.41191,1.22029,1.07254,0.61208,0.73636
655,0.51468,1.11504,1.09681,1.17443,1.21905,1.4142,1.22234,1.07469,0.61367,0.73834
656,0.51645,1.11748,1.09911,1.17594,1.22036,1.41648,1.22441,1.07682,0.61526,0.74031
657,0.51827,1.11985,1.10133,1.17725,1.22142,1.41856,1.22631,1.0789,0.61686,0.74228
