lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
537,NA,NA,NA,NA,NA,NA,NA,1.61898,NA,NA
538,NA,NA,NA,NA,NA,NA,NA,1.61489,NA,NA
539,NA,NA,NA,NA,NA,NA,NA,1.61105,NA,NA
540,NA,NA,NA,NA,NA,NA,NA,1.60756,NA,NA
541,NA,NA,NA,NA,NA,NA,NA,1.60571,NA,NA
542,NA,NA,NA,NA,NA,NA,NA,1.60555,NA,NA
543,NA,NA,NA,NA,NA,NA,NA,1.60573,NA,NA
544,NA,NA,NA,NA,NA,NA,NA,1.60599,NA,NA
545,NA,NA,NA,NA,NA,NA,NA,1.60638,NA,NA
546,NA,NA,NA,NA,NA,NA,NA,1.60732,NA,NA
547,NA,NA,NA,NA,NA,NA,NA,1.60826,NA,NA
548,NA,NA,NA,NA,NA,NA,NA,1.60869,NA,NA
549,NA,NA,NA,NA,NA,NA,NA,1.60887,NA,NA
550,NA,NA,NA,NA,NA,NA,NA,1.60899,NA,NA
551,NA,NA,NA,NA,NA,NA,NA,1.60899,NA,NA
552,NA,NA,NA,NA,NA,NA,NA,1.60766,NA,NA
553,NA,NA,NA,NA,NA,NA,NA,1.60447,NA,NA
554,NA,NA,NA,NA,NA,NA,NA,1.60046,NA,NA
555,NA,NA,NA,NA,NA,NA,NA,1.59587,NA,NA
556,NA,NA,NA,NA,NA,NA,NA,1.58973,NA,NA
557,NA,NA,NA,NA,NA,NA,NA,1.58358,NA,NA
558,NA,NA,NA,NA,NA,NA,NA,1.57906,NA,NA
559,NA,NA,NA,NA,NA,NA,NA,1.57563,NA,NA
560,NA,NA,NA,NA,NA,NA,NA,1.57274,NA,NA
561,NA,NA,NA,NA,NA,NA,NA,1.57015,NA,NA
562,NA,NA,NA,NA,NA,NA,NA,1.5678,NA,NA
563,NA,NA,NA,NA,NA,NA,NA,1.56557,NA,NA
564,NA,NA,NA,NA,NA,NA,NA,1.56337,NA,NA
565,NA,NA,NA,NA,NA,NA,NA,1.56052,NA,NA
566,NA,NA,NA,NA,NA,NA,NA,1.55682,NA,NA
567,NA,NA,NA,NA,NA,NA,NA,1.55343,NA,NA
568,NA,NA,NA,NA,NA,NA,NA,1.55124,NA,NA
569,NA,NA,NA,NA,NA,NA,NA,1.54948,NA,NA
570,NA,NA,NA,NA,NA,NA,NA,1.5481,NA,NA
571,NA,NA,NA,NA,NA,NA,NA,1.54714,NA,NA
572,NA,NA,NA,NA,NA,NA,NA,1.54627,NA,NA
573,NA,NA,NA,NA,NA,NA,NA,1.54547,NA,NA
574,NA,NA,NA,NA,NA,NA,NA,1.54504,NA,NA
575,NA,NA,NA,NA,NA,NA,NA,1.54519,NA,NA
576,NA,NA,NA,NA,NA,NA,NA,1.54592,NA,NA
577,NA,NA,NA,NA,NA,NA,NA,1.54689,NA,NA
578,NA,NA,NA,NA,NA,NA,NA,1.54795,NA,NA
579,NA,NA,NA,NA,NA,NA,NA,1.54973,NA,NA
580,NA,NA,NA,NA,NA,NA,NA,1.55144,NA,NA
581,NA,NA,NA,NA,NA,NA,NA,1.55196,NA,NA
582,NA,NA,NA,NA,NA,NA,NA,1.54873,NA,NA
583,NA,NA,NA,NA,NA,NA,NA,1.5424,NA,NA
584,NA,NA,NA,NA,NA,NA,NA,1.53505,NA,NA
585,NA,NA,NA,NA,NA,NA,NA,1.52613,NA,NA
586,NA,NA,NA,NA,NA,NA,NA,1.51404,NA,NA
587,NA,NA,NA,NA,NA,NA,NA,1.50198,NA,NA
588,NA,NA,NA,NA,NA,NA,NA,1.49201,NA,NA
589,NA,NA,NA,NA,NA,NA,NA,1.48164,NA,NA
590,NA,NA,NA,NA,NA,NA,NA,1.47371,NA,NA
591,NA,NA,NA,NA,NA,NA,NA,1.47149,NA,NA
592,NA,NA,NA,NA,NA,NA,NA,1.47214,NA,NA
593,NA,NA,NA,NA,NA,NA,NA,1.47333,NA,NA
594,NA,NA,NA,NA,NA,NA,NA,1.4746,NA,NA
595,NA,NA,NA,NA,NA,NA,NA,1.4769,NA,NA
596,NA,NA,NA,NA,NA,NA,NA,1.48095,NA,NA
597,NA,NA,NA,NA,NA,NA,NA,1.48518,NA,NA
598,NA,NA,NA,NA,NA,NA,NA,1.48842,NA,NA
599,NA,NA,NA,NA,NA,NA,NA,1.4914,NA,NA
600,NA,NA,NA,NA,NA,NA,NA,1.49422,NA,NA
601,NA,NA,NA,NA,NA,NA,NA,1.49676,NA,NA
602,NA,NA,NA,NA,NA,NA,NA,1.49956,NA,NA
603,NA,NA,NA,NA,NA,NA,NA,1.50208,NA,NA
604,NA,NA,NA,NA,NA,NA,NA,1.50319,NA,NA
605,NA,NA,NA,NA,NA,NA,NA,1.50293,NA,NA
606,NA,NA,NA,NA,NA,NA,NA,1.50217,NA,NA
607,NA,NA,NA,NA,NA,NA,NA,1.50114,NA,NA
608,NA,NA,NA,NA,NA,NA,NA,1.49946,NA,NA
609,NA,NA,NA,NA,NA,NA,NA,1.49602,NA,NA
610,NA,NA,NA,NA,NA,NA,NA,1.49192,NA,NA
611,NA,NA,NA,NA,NA,NA,NA,1.48811,NA,NA
612,NA,NA,NA,NA,NA,NA,NA,1.48411,NA,NA
613,NA,NA,NA,NA,NA,NA,NA,1.48008,NA,NA
614,NA,NA,NA,NA,NA,NA,NA,1.47651,NA,NA
615,NA,NA,NA,NA,NA,NA,NA,1.47357,NA,NA
616,NA,NA,NA,NA,NA,NA,NA,1.47094,NA,NA
617,NA,NA,NA,NA,NA,NA,NA,1.46848,NA,NA
618,NA,NA,NA,NA,NA,NA,NA,1.46619,NA,NA
619,NA,NA,NA,NA,NA,NA,NA,1.46408,NA,NA
620,NA,NA,NA,NA,NA,NA,NA,1.46199,NA,NA
621,NA,NA,NA,NA,NA,NA,NA,1.45964,NA,NA
622,NA,NA,NA,NA,NA,NA,NA,1.45652,NA,NA
623,NA,NA,NA,NA,NA,NA,NA,1.45277,NA,NA
624,NA,NA,NA,NA,NA,NA,NA,1.44856,NA,NA
625,NA,NA,NA,NA,NA,NA,NA,1.44277,NA,NA
626,NA,NA,NA,NA,NA,NA,NA,1.43597,NA,NA
627,NA,NA,NA,NA,NA,NA,NA,1.43007,NA,NA
628,NA,NA,NA,NA,NA,NA,NA,1.42583,NA,NA
629,NA,NA,NA,NA,NA,NA,NA,1.4221,NA,NA
630,NA,NA,NA,NA,NA,NA,NA,1.41973,NA,NA
631,NA,NA,NA,NA,NA,NA,NA,1.41932,NA,NA
632,NA,NA,NA,NA,NA,NA,NA,1.41955,NA,NA
633,NA,NA,NA,NA,NA,NA,NA,1.42002,NA,NA
634,NA,NA,NA,NA,NA,NA,NA,1.42067,NA,NA
635,NA,NA,NA,NA,NA,NA,NA,1.42207,NA,NA
636,NA,NA,NA,NA,NA,NA,NA,1.42378,NA,NA
637,NA,NA,NA,NA,NA,NA,NA,1.4248,NA,NA
638,NA,NA,NA,NA,NA,NA,NA,1.42485,NA,NA
639,NA,NA,NA,NA,NA,NA,NA,1.42466,NA,NA
640,NA,NA,NA,NA,NA,NA,NA,1.42402,NA,NA
641,NA,NA,NA,NA,NA,NA,NA,1.4221,NA,NA
642,NA,NA,NA,NA,NA,NA,NA,1.41718,NA,NA
643,NA,NA,NA,NA,NA,NA,NA,1.41076,NA,NA
644,NA,NA,NA,NA,NA,NA,NA,1.40456,NA,NA
645,NA,NA,NA,NA,NA,NA,NA,1.39825,NA,NA
646,NA,NA,NA,NA,NA,NA,NA,1.39148,NA,NA
647,NA,NA,NA,NA,NA,NA,NA,1.38459,NA,NA
648,NA,NA,NA,NA,NA,NA,NA,1.37758,NA,NA
649,NA,NA,NA,NA,NA,NA,NA,1.37052,NA,NA
650,NA,NA,NA,NA,NA,NA,NA,1.36356,NA,NA
651,NA,NA,NA,NA,NA,NA,NA,1.35652,NA,NA
652,NA,NA,NA,NA,NA,NA,NA,1.34872,NA,NA
653,NA,NA,NA,NA,NA,NA,NA,1.34248,NA,NA
654,NA,NA,NA,NA,NA,NA,NA,1.34011,NA,NA
655,NA,NA,NA,NA,NA,NA,NA,1.3389,NA,NA
656,NA,NA,NA,NA,NA,NA,NA,1.33785,NA,NA
657,NA,NA,NA,NA,NA,NA,NA,1.33753,NA,NA
658,NA,NA,NA,NA,NA,NA,NA,1.34161,NA,NA
659,NA,NA,NA,NA,NA,NA,NA,1.35075,NA,NA
660,NA,NA,NA,NA,NA,NA,NA,1.36041,NA,NA
661,NA,NA,NA,NA,NA,NA,NA,1.36789,NA,NA
662,NA,NA,NA,NA,NA,NA,NA,1.37555,NA,NA
663,NA,NA,NA,NA,NA,NA,NA,1.38179,NA,NA
664,NA,NA,NA,NA,NA,NA,NA,1.38474,NA,NA
665,NA,NA,NA,NA,NA,NA,NA,1.3866,NA,NA
666,NA,NA,NA,NA,NA,NA,NA,1.388,NA,NA
667,NA,NA,NA,NA,NA,NA,NA,1.38845,NA,NA
668,NA,NA,NA,NA,NA,NA,NA,1.38692,NA,NA
669,NA,NA,NA,NA,NA,NA,NA,1.3839,NA,NA
670,NA,NA,NA,NA,NA,NA,NA,1.38107,NA,NA
671,NA,NA,NA,NA,NA,NA,NA,1.37929,NA,NA
672,NA,NA,NA,NA,NA,NA,NA,1.37767,NA,NA
673,NA,NA,NA,NA,NA,NA,NA,1.37603,NA,NA
674,NA,NA,NA,NA,NA,NA,NA,1.37418,NA,NA
675,NA,NA,NA,NA,NA,NA,NA,1.37217,NA,NA
676,NA,NA,NA,NA,NA,NA,NA,1.36984,NA,NA
677,NA,NA,NA,NA,NA,NA,NA,1.36695,NA,NA
678,NA,NA,NA,NA,NA,NA,NA,1.36222,NA,NA
679,NA,NA,NA,NA,NA,NA,NA,1.35539,NA,NA
680,NA,NA,NA,NA,NA,NA,NA,1.34684,NA,NA
681,NA,NA,NA,NA,NA,NA,NA,1.33526,NA,NA
