lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
748,0.54635,1.08847,0.98831,1.10877,1.09178,1.23352,1.04836,1.23139,0.56697,0.71703
749,0.54629,1.08748,0.98732,1.10755,1.09041,1.23237,1.0473,1.23031,0.56675,0.71681
750,0.54583,1.0859,0.98583,1.10586,1.08856,1.23064,1.04576,1.22858,0.56616,0.71612
751,0.54512,1.08394,0.98404,1.10387,1.08642,1.22855,1.04391,1.22644,0.56533,0.71515
752,0.54333,1.08008,0.98053,1.1,1.08253,1.22441,1.04028,1.22216,0.56341,0.71278
753,0.53781,1.06952,0.9707,1.08936,1.07221,1.21281,1.03022,1.2102,0.55763,0.70546
754,0.5216,1.0394,0.94273,1.05878,1.04267,1.17904,1.00108,1.17599,0.54092,0.68414
755,0.49377,0.98801,0.89521,1.00642,0.99196,1.12085,0.95095,1.11766,0.51233,0.64764
756,0.45924,0.92473,0.83695,0.94172,0.92917,1.04867,0.88875,1.04592,0.47695,0.60253
757,0.42603,0.86479,0.78178,0.88028,0.86961,0.98002,0.82952,0.97779,0.44291,0.55909
758,0.39522,0.81007,0.73138,0.82414,0.81528,0.91722,0.77525,0.91541,0.41134,0.51879
759,0.36745,0.76134,0.6865,0.77422,0.76701,0.86128,0.72686,0.85968,0.3829,0.4825
760,0.34481,0.722,0.65035,0.73397,0.72804,0.81606,0.68771,0.81447,0.35964,0.45289
761,0.32844,0.6938,0.62446,0.70517,0.70011,0.78362,0.65961,0.78183,0.34275,0.43146
762,0.31865,0.67718,0.60924,0.68822,0.68358,0.76444,0.64296,0.76241,0.33259,0.41867
763,0.31678,0.67453,0.60698,0.68552,0.68072,0.76114,0.63999,0.75909,0.3306,0.41633
764,0.32812,0.6958,0.62683,0.70722,0.70141,0.78506,0.66044,0.78313,0.3422,0.43137
765,0.35257,0.7408,0.66849,0.75322,0.7457,0.83625,0.70438,0.83419,0.36722,0.46353
766,0.38442,0.79879,0.72193,0.81264,0.80315,0.90272,0.7615,0.9,0.39975,0.50524
767,0.4152,0.85384,0.77264,0.86922,0.85778,0.96611,0.81608,0.96271,0.43125,0.54566
768,0.44363,0.90376,0.81863,0.92051,0.90723,1.02371,0.86576,1.01977,0.46033,0.58304
769,0.46898,0.94759,0.85897,0.96546,0.95053,1.07434,0.90947,1.07006,0.48627,0.61637
770,0.4893,0.98227,0.89076,1.00092,0.98471,1.11446,0.9441,1.11011,0.50716,0.64318
771,0.50349,1.00612,0.91255,1.02522,1.00812,1.14211,0.96793,1.13791,0.52183,0.662
772,0.512,1.02004,0.92525,1.0394,1.02172,1.15837,0.98192,1.15443,0.53071,0.67341
773,0.51632,1.02672,0.93136,1.04623,1.02819,1.1663,0.98871,1.16259,0.53527,0.67931
774,0.51821,1.02934,0.93381,1.04895,1.03067,1.16955,0.99146,1.16601,0.53732,0.68201
775,0.51885,1.02996,0.93445,1.04967,1.03123,1.17049,0.99221,1.16707,0.53808,0.68306
776,0.51889,1.02973,0.93429,1.04952,1.031,1.17044,0.99209,1.16705,0.53821,0.68332
777,0.51855,1.02895,0.93363,1.04882,1.03029,1.1698,0.99143,1.16638,0.53796,0.68308
778,0.51785,1.02761,0.93248,1.04763,1.02911,1.16857,0.99026,1.16509,0.53733,0.68239
779,0.51686,1.02588,0.93102,1.04613,1.02765,1.16698,0.98876,1.16335,0.53643,0.68134
780,0.51551,1.02376,0.92925,1.0444,1.02602,1.16509,0.98701,1.16116,0.53521,0.67993
781,0.51358,1.02091,0.9268,1.04216,1.02395,1.16256,0.98473,1.15811,0.53346,0.67788
782,0.5109,1.01708,0.92353,1.03924,1.02129,1.15917,0.9817,1.15397,0.53103,0.67501
783,0.50735,1.01211,0.91928,1.03556,1.01796,1.15481,0.9778,1.14861,0.52785,0.67124
784,0.50307,1.00613,0.91413,1.03116,1.01395,1.14953,0.97311,1.14217,0.52402,0.66669
785,0.49825,0.99933,0.90823,1.02604,1.00925,1.14339,0.9677,1.13479,0.51968,0.66153
786,0.49324,0.99201,0.90183,1.02034,1.00392,1.13661,0.96174,1.12682,0.51511,0.65606
787,0.48836,0.98457,0.89529,1.01427,0.99816,1.12948,0.95551,1.11865,0.5106,0.65062
788,0.48385,0.97743,0.88897,1.00821,0.99233,1.12242,0.94939,1.11072,0.50636,0.64549
789,0.47969,0.97071,0.883,1.00239,0.98666,1.11563,0.94353,1.10322,0.50241,0.64071
790,0.47565,0.96424,0.87724,0.99686,0.98127,1.10915,0.93792,1.09602,0.49859,0.63608
791,0.47187,0.95832,0.87197,0.99187,0.97642,1.10328,0.93282,1.08945,0.49506,0.63183
792,0.46881,0.95358,0.86771,0.98784,0.97247,1.09853,0.92869,1.08416,0.49222,0.62844
793,0.46686,0.95037,0.8648,0.98488,0.96952,1.09513,0.92576,1.08049,0.49035,0.6262
794,0.46559,0.94806,0.86263,0.98251,0.96712,1.09249,0.92349,1.07779,0.48905,0.62464
795,0.46442,0.94596,0.86067,0.98035,0.96494,1.09008,0.92141,1.07534,0.48786,0.62321
796,0.46298,0.94367,0.85859,0.97825,0.96285,1.08766,0.91931,1.07272,0.48648,0.62155
797,0.46126,0.94126,0.85648,0.97636,0.96101,1.08534,0.91728,1.07004,0.48488,0.61968
798,0.45937,0.93881,0.85438,0.97461,0.95936,1.08314,0.91533,1.06736,0.4832,0.61773
799,0.4577,0.93662,0.85249,0.97301,0.95786,1.08117,0.91358,1.065,0.48171,0.616
800,0.45674,0.93509,0.85117,0.97161,0.95647,1.07959,0.91218,1.06332,0.48078,0.61492
