wl [nm]	refractive_index 	+/- error 
at T=15.0 degC, S=34.0 PSU, depol.ratio=0.039, Theta=90.0 deg
1100.0	   1.3317951447	   0.0005000000
1102.0	   1.3317741447	   0.0005000000
1104.0	   1.3317531447	   0.0005000000
1106.0	   1.3317321447	   0.0005000000
1108.0	   1.3317111447	   0.0005000000
1110.0	   1.3316901447	   0.0005000000
1112.0	   1.3316691447	   0.0005000000
1114.0	   1.3316481447	   0.0005000000
1116.0	   1.3316271447	   0.0005000000
1118.0	   1.3316061447	   0.0005000000
1120.0	   1.3315851447	   0.0005000000
1122.0	   1.3315641447	   0.0005000000
1124.0	   1.3315431447	   0.0005000000
1126.0	   1.3315221447	   0.0005000000
1128.0	   1.3315011447	   0.0005000000
1130.0	   1.3314801447	   0.0005000000
1132.0	   1.3314591447	   0.0005000000
1134.0	   1.3314381447	   0.0005000000
1136.0	   1.3314161447	   0.0005000000
1138.0	   1.3313951447	   0.0005000000
1140.0	   1.3313741447	   0.0005000000
1142.0	   1.3313531447	   0.0005000000
1144.0	   1.3313321447	   0.0005000000
1146.0	   1.3313111447	   0.0005000000
1148.0	   1.3312901447	   0.0005000000
1150.0	   1.3312691447	   0.0005000000
1152.0	   1.3312481447	   0.0005000000
1154.0	   1.3312271447	   0.0005000000
1156.0	   1.3312051447	   0.0005000000
1158.0	   1.3311841447	   0.0005000000
1160.0	   1.3311631447	   0.0005000000
1162.0	   1.3311421447	   0.0005000000
1164.0	   1.3311211447	   0.0005000000
1166.0	   1.3311001447	   0.0005000000
1168.0	   1.3310791447	   0.0005000000
1170.0	   1.3310581447	   0.0005000000
1172.0	   1.3310371447	   0.0005000000
1174.0	   1.3310161447	   0.0005000000
1176.0	   1.3309941447	   0.0005000000
1178.0	   1.3309731447	   0.0005000000
1180.0	   1.3309521447	   0.0005000000
1182.0	   1.3309311447	   0.0005000000
1184.0	   1.3309101447	   0.0005000000
1186.0	   1.3308881447	   0.0005000000
1188.0	   1.3308671447	   0.0005000000
1190.0	   1.3308461447	   0.0005000000
1192.0	   1.3308251447	   0.0005000000
1194.0	   1.3308031447	   0.0005000000
1196.0	   1.3307821447	   0.0005000000
1198.0	   1.3307611447	   0.0005000000
1200.0	   1.3307391447	   0.0005000000
1202.0	   1.3307181447	   0.0005000000
1204.0	   1.3306961447	   0.0005000000
1206.0	   1.3306751447	   0.0005000000
1208.0	   1.3306531447	   0.0005000000
1210.0	   1.3306321447	   0.0005000000
1212.0	   1.3306111447	   0.0005000000
1214.0	   1.3305891447	   0.0005000000
1216.0	   1.3305681447	   0.0005000000
1218.0	   1.3305461447	   0.0005000000
1220.0	   1.3305251447	   0.0005000000
1222.0	   1.3305031447	   0.0005000000
1224.0	   1.3304811447	   0.0005000000
1226.0	   1.3304591447	   0.0005000000
1228.0	   1.3304381447	   0.0005000000
1230.0	   1.3304161447	   0.0005000000
1232.0	   1.3303941447	   0.0005000000
1234.0	   1.3303721447	   0.0005000000
1236.0	   1.3303511447	   0.0005000000
1238.0	   1.3303291447	   0.0005000000
1240.0	   1.3303071447	   0.0005000000
1242.0	   1.3302851447	   0.0005000000
1244.0	   1.3302631447	   0.0005000000
1246.0	   1.3302411447	   0.0005000000
1248.0	   1.3302191447	   0.0005000000
1250.0	   1.3301971447	   0.0005000000
1252.0	   1.3301751447	   0.0005000000
1254.0	   1.3301521447	   0.0005000000
1256.0	   1.3301301447	   0.0005000000
1258.0	   1.3301081447	   0.0005000000
1260.0	   1.3300851447	   0.0005000000
1262.0	   1.3300631447	   0.0005000000
1264.0	   1.3300401447	   0.0005000000
1266.0	   1.3300181447	   0.0005000000
1268.0	   1.3299951447	   0.0005000000
1270.0	   1.3299731447	   0.0005000000
1272.0	   1.3299501447	   0.0005000000
1274.0	   1.3299271447	   0.0005000000
1276.0	   1.3299051447	   0.0005000000
1278.0	   1.3298821447	   0.0005000000
1280.0	   1.3298601447	   0.0005000000
1282.0	   1.3298361447	   0.0005000000
1284.0	   1.3298131447	   0.0005000000
1286.0	   1.3297911447	   0.0005000000
1288.0	   1.3297681447	   0.0005000000
1290.0	   1.3297451447	   0.0005000000
1292.0	   1.3297221447	   0.0005000000
1294.0	   1.3296981447	   0.0005000000
1296.0	   1.3296751447	   0.0005000000
1298.0	   1.3296521447	   0.0005000000
1300.0	   1.3296291447	   0.0005000000
1302.0	   1.3296061447	   0.0005000000
1304.0	   1.3295821447	   0.0005000000
1306.0	   1.3295591447	   0.0005000000
